x-axis,CH1,CH2
1.0600e-03,1.6800e+00,1.2000e+00
1.0620e-03,1.6800e+00,1.2000e+00
1.0640e-03,1.7200e+00,1.2800e+00
1.0660e-03,1.7200e+00,1.2400e+00
1.0680e-03,1.7200e+00,1.2400e+00
1.0700e-03,1.7200e+00,1.2800e+00
1.0720e-03,1.7600e+00,1.3600e+00
1.0740e-03,1.7600e+00,1.2800e+00
1.0760e-03,1.7600e+00,1.3600e+00
1.0780e-03,1.8000e+00,1.2800e+00
1.0800e-03,1.8000e+00,1.3600e+00
1.0820e-03,1.8400e+00,1.3600e+00
1.0840e-03,1.8000e+00,1.4000e+00
1.0860e-03,1.8000e+00,1.3600e+00
1.0880e-03,1.8400e+00,1.4000e+00
1.0900e-03,1.8400e+00,1.4000e+00
1.0920e-03,1.8400e+00,1.4400e+00
1.0940e-03,1.8400e+00,1.4000e+00
1.0960e-03,1.8400e+00,1.4400e+00
1.0980e-03,1.8400e+00,1.4400e+00
1.1000e-03,1.8800e+00,1.4400e+00
1.1020e-03,1.8800e+00,1.4800e+00
1.1040e-03,1.8800e+00,1.5600e+00
1.1060e-03,1.9200e+00,1.4800e+00
1.1080e-03,1.9200e+00,1.5200e+00
1.1100e-03,1.8800e+00,1.5600e+00
1.1120e-03,1.9200e+00,1.5600e+00
1.1140e-03,1.8800e+00,1.5200e+00
1.1160e-03,1.9200e+00,1.5600e+00
1.1180e-03,1.8800e+00,1.5600e+00
1.1200e-03,1.8800e+00,1.6000e+00
1.1220e-03,1.9200e+00,1.5600e+00
1.1240e-03,1.9200e+00,1.6000e+00
1.1260e-03,1.9200e+00,1.6000e+00
1.1280e-03,1.9600e+00,1.6400e+00
1.1300e-03,1.8800e+00,1.5600e+00
1.1320e-03,1.9600e+00,1.6400e+00
1.1340e-03,1.9200e+00,1.6000e+00
1.1360e-03,1.9200e+00,1.6400e+00
1.1380e-03,1.9200e+00,1.6800e+00
1.1400e-03,1.9600e+00,1.6800e+00
1.1420e-03,1.9600e+00,1.6000e+00
1.1440e-03,1.9600e+00,1.6800e+00
1.1460e-03,1.9200e+00,1.6400e+00
1.1480e-03,1.9200e+00,1.6800e+00
1.1500e-03,1.9200e+00,1.6800e+00
1.1520e-03,1.9200e+00,1.7200e+00
1.1540e-03,1.9200e+00,1.7200e+00
1.1560e-03,1.9200e+00,1.7200e+00
1.1580e-03,1.8800e+00,1.6800e+00
1.1600e-03,1.8800e+00,1.7200e+00
1.1620e-03,1.8800e+00,1.7200e+00
1.1640e-03,1.8800e+00,1.6800e+00
1.1660e-03,1.8400e+00,1.6800e+00
1.1680e-03,1.8800e+00,1.7200e+00
1.1700e-03,1.8800e+00,1.7600e+00
1.1720e-03,1.8400e+00,1.7200e+00
1.1740e-03,1.8800e+00,1.7200e+00
1.1760e-03,1.8400e+00,1.7200e+00
1.1780e-03,1.8400e+00,1.7600e+00
1.1800e-03,1.8400e+00,1.7200e+00
1.1820e-03,1.8000e+00,1.7200e+00
1.1840e-03,1.8400e+00,1.7200e+00
1.1860e-03,1.8000e+00,1.6800e+00
1.1880e-03,1.7200e+00,1.7200e+00
1.1900e-03,1.8400e+00,1.7200e+00
1.1920e-03,1.7600e+00,1.7600e+00
1.1940e-03,1.8000e+00,1.7200e+00
1.1960e-03,1.7600e+00,1.6800e+00
1.1980e-03,1.7600e+00,1.7200e+00
