x-axis,CH1,CH2
5.370e-04,1.0400e+00,1.6000e-01
5.380e-04,1.2000e+00,2.4000e-01
5.390e-04,1.1200e+00,2.4000e-01
5.400e-04,1.2800e+00,3.2000e-01
5.410e-04,1.2000e+00,3.2000e-01
5.420e-04,1.3600e+00,4.0000e-01
5.430e-04,1.2800e+00,3.2000e-01
5.440e-04,1.3600e+00,4.8000e-01
5.450e-04,1.3600e+00,3.2000e-01
5.460e-04,1.5200e+00,5.6000e-01
5.470e-04,1.4400e+00,4.8000e-01
5.480e-04,1.5200e+00,6.4000e-01
5.490e-04,1.4400e+00,5.6000e-01
5.500e-04,1.5200e+00,7.2000e-01
5.510e-04,1.6000e+00,6.4000e-01
5.520e-04,1.5200e+00,8.0000e-01
5.530e-04,1.6000e+00,7.2000e-01
5.540e-04,1.6800e+00,8.0000e-01
5.550e-04,1.6000e+00,8.0000e-01
5.560e-04,1.8400e+00,9.6000e-01
5.570e-04,1.7600e+00,8.0000e-01
5.580e-04,1.8400e+00,9.6000e-01
5.590e-04,1.6800e+00,9.6000e-01
5.600e-04,1.8400e+00,1.0400e+00
5.610e-04,1.7600e+00,8.8000e-01
5.620e-04,1.7600e+00,1.1200e+00
5.630e-04,1.8400e+00,1.0400e+00
5.640e-04,1.9200e+00,1.2000e+00
5.650e-04,1.8400e+00,1.1200e+00
5.660e-04,1.9200e+00,1.2000e+00
5.670e-04,1.9200e+00,1.1200e+00
5.680e-04,2.0000e+00,1.2800e+00
5.690e-04,1.9200e+00,1.2000e+00
5.700e-04,1.9200e+00,1.3600e+00
5.710e-04,1.9200e+00,1.2800e+00
5.720e-04,2.0000e+00,1.3600e+00
5.730e-04,1.8400e+00,1.2800e+00
5.740e-04,1.9200e+00,1.4400e+00
5.750e-04,1.9200e+00,1.2800e+00
5.760e-04,2.0000e+00,1.4400e+00
5.770e-04,1.9200e+00,1.3600e+00
5.780e-04,2.0000e+00,1.5200e+00
5.790e-04,2.0000e+00,1.4400e+00
5.800e-04,1.9200e+00,1.5200e+00
5.810e-04,1.9200e+00,1.4400e+00
5.820e-04,2.0000e+00,1.5200e+00
5.830e-04,1.9200e+00,1.5200e+00
5.840e-04,1.9200e+00,1.5200e+00
5.850e-04,1.8400e+00,1.5200e+00
5.860e-04,1.9200e+00,1.6000e+00
5.870e-04,1.9200e+00,1.5200e+00
5.880e-04,1.9200e+00,1.6800e+00
5.890e-04,1.8400e+00,1.5200e+00
5.900e-04,1.7600e+00,1.6000e+00
5.910e-04,1.8400e+00,1.6000e+00
5.920e-04,1.8400e+00,1.7600e+00
5.930e-04,1.8400e+00,1.6000e+00
5.940e-04,1.8400e+00,1.6800e+00
5.950e-04,1.8400e+00,1.6000e+00
5.960e-04,1.7600e+00,1.6800e+00
5.970e-04,1.6800e+00,1.6800e+00
5.980e-04,1.6800e+00,1.6800e+00
5.990e-04,1.6800e+00,1.6000e+00
